Professor	Description	Specializations	FOMO filter: Priority
Charles V. Willie	Charles Vert Willie is the Charles William Eliot Professor of Education; Emeritus. He is a sociologist whose areas of research include desegregation; higher education; public health; race relations; urban community problems; and family life.	Affirmative Action	low
Julie A. Reuben	Julie Reuben is a historian interested in the intersection between American thought and culture and educational institutions and practice.	Affirmative Action	low
Richard Chait	Richard Chait studies the management and governance of colleges and universities. Chait has expertise on terms and conditions of faculty employment; including promotion and tenure procedures; academic freedom; and faculty evaluation.	Affirmative Action	low
Thomas Kane	Thomas Kane is an economist and Walter H. Gale Professor of Education at the Harvard Graduate School of Education. He is faculty director of the Center for Education Policy Research; a university-wide research center that works with school districts and state agencies.	Affirmative Action	low
Katherine K. Merseth	Katherine Merseth's work concentrated on charter schools; teacher education; mathematics education; and the case-method of instruction.	Alternative Schooling	low
Aysha Upchurch	Aysha Upchurch is an artist; instructor; and an education consultant committed to youth advocacy; social inclusion; artistry development; and transformative education. Whether on stage or in the classroom; hip hop is a thread throughout her work. Upchurch holds an M.A.	Arts in Education	low
Catherine Elgin	Catherine Elgin is a philosopher whose areas of study include the theory of knowledge; philosophy of art; and philosophy of science. Recent work considers the question of what makes something cognitively valuable.	Arts in Education	low
Howard Gardner	Howard Gardner is the John H. and Elisabeth A. Hobbs Research Professor of Cognition and Education at the Harvard Graduate School of Education. He is also the head of the Steering Committee of Harvard Project Zero.	Arts in Education	low
Shari Tishman	Shari Tishman is a Lecturer at Harvard Graduate School of Education and a Senior Research Associate at Harvard Project Zero; where she recently served as Director. Her research focuses on the development of thinking and understanding; the role of close observation in learning; and learning in and through the arts.	Arts in Education	low
Steven Seidel	Steve Seidel is the director of the Arts in Education Program at the Harvard Graduate School of Eduction. At Project Zero; he was principal investigator on projects that study the use of reflective practices in schools; the close examination of student work; and documentation of learning.	Arts in Education	low
Christopher Dede	Chris Dede's fundamental interest is developing new types of educational systems to meet the opportunities and challenges of the 21st century.	Assessment	medium
Daniel Koretz	Daniel Koretz is an expert on educational assessment and testing policy. A primary focus of his work has been the impact of high-stakes testing.	Assessment	medium
Joanna A. Christodoulou	Joanna A. Christodoulou works at the intersection of education and neuroscience. Her program of research; conducted at MIT in the Gabrieli Lab and at MGH Institute of Health Professions; focuses on brain and behavior correlates of development; difficulties; and intervention effects for reading.	Assessment	medium
Richard J. Light	Richard Light is the Carl H. Pforzheimer Professor of Teaching and Learning. His Ph.D. is from Harvard in statistics.	Assessment	medium
Steven Seidel	Steve Seidel is the director of the Arts in Education Program at the Harvard Graduate School of Eduction. At Project Zero; he was principal investigator on projects that study the use of reflective practices in schools; the close examination of student work; and documentation of learning.	Assessment	medium
Tina Blythe	Tina Blythe is a lecturer on education and a project director at Harvard Project Zero.	Assessment	medium
Charles V. Willie	Charles Vert Willie is the Charles William Eliot Professor of Education; Emeritus. He is a sociologist whose areas of research include desegregation; higher education; public health; race relations; urban community problems; and family life.	At-Risk Youth	medium
Fernando Reimers	Fernando M. Reimers is the Ford Foundation Professor of the Practice of International Education and Director of the Global Education Innovation Initiative and of the International Education Policy Masters Program at Harvard University.	At-Risk Youth	medium
Gretchen Brion-Meisels	Gretchen Brion-Meisels is a lecturer in the Prevention Science and Practice Program. Her research seeks to explore partnerships between youth and adults that support both individual and collective development.	At-Risk Youth	medium
Joanna A. Christodoulou	Joanna A. Christodoulou works at the intersection of education and neuroscience. Her program of research; conducted at MIT in the Gabrieli Lab and at MGH Institute of Health Professions; focuses on brain and behavior correlates of development; difficulties; and intervention effects for reading.	At-Risk Youth	medium
Josephine M. Kim	Josephine Kim is a lecturer on education at the Harvard Graduate School of Education. She is the former faculty director of the Office of Diversity and Inclusion at Harvard School of Dental Medicine where she launched award-winning K-16 pipeline programs.	At-Risk Youth	medium
Mandy Savitz-Romer	Mandy Savitz-Romer's professional experience has allowed her to link research to practice in the field of school counseling; specifically as it relates to college access and retention for urban students.	At-Risk Youth	medium
Martha L. Minow	Martha Minow has taught at Harvard Law School since 1981; where her courses include civil procedure; constitutional law; fairness and privacy; family law; international criminal justice; jurisprudence; law and education; nonprofit organizations; and the public law workshop.	At-Risk Youth	medium
Richard Weissbourd	Richard Weissbourd is currently a senior lecturer on education at HGSE and at the Kennedy School of Government. He is also faculty co-director of the Human Development and Psychology master's program.	At-Risk Youth	medium
Robert L. Selman	Robert Selman served as chair of the Human Development and Psychology area from 2000 to 2004. He is the founder within this area of the Prevention Science and Practice Program in 1992 and served as its first director through 1999.	At-Risk Youth	medium
William R. Beardslee	William R. Beardslee is the academic chairman of the Department of Psychiatry at Childrens Hospital in Boston; and the Gardner Monks Professor of Child Psychiatry at Harvard Medical School. He trained in general psychiatry at Massachusetts General Hospital and in child psychiatry and psychiatric research at Childrens Hospital.	At-Risk Youth	medium
Catherine Snow	Catherine Snow is an expert on language and literacy development in children; focusing on how oral language skills are acquired and how they relate to literacy outcomes.	Bilingual Education	low
Nonie K. Lesaux	Nonie K. Lesaux is Academic Dean and the Juliana W. and William Foss Thompson Professor of Education and Society. Her research focuses on promoting the language and literacy skills of today's children from diverse linguistic; cultural and economic backgrounds; and is conducted largely in urban and semi-urban cities and school districts.	Bilingual Education	low
Paola Uccelli	Paola Uccelli is a professor at the Harvard Graduate School of Education (HGSE). With a background in linguistics; she studies socio-cultural and individual differences in language and literacy development throughout the school years.	Bilingual Education	low
Jerome T. Murphy	Jerome Murphy is a specialist in the management and politics of education. His teaching and research focus on administrative practice and organizational leadership; government policy; program implementation and evaluation; and qualitative methodology.	Charter Schools	low
Katherine K. Merseth	Katherine Merseth's work concentrated on charter schools; teacher education; mathematics education; and the case-method of instruction.	Charter Schools	low
Richard Elmore	Richard Elmore joined the faculty of the Harvard Graduate School of Education in 1990; having previously taught at the College of Education; Michigan State University; and the Graduate School of Public Affairs; University of Washington.	Charter Schools	low
Richard J. Murnane	Richard Murnane; an economist; is the Thompson Research Professor at the Harvard Graduate School of Education and a research associate at the National Bureau of Economic Research. With Greg Duncan; Murnane has examined the respects in which the growth in family income inequality in the U.S.	Charter Schools	low
Thomas Kane	Thomas Kane is an economist and Walter H. Gale Professor of Education at the Harvard Graduate School of Education. He is faculty director of the Center for Education Policy Research; a university-wide research center that works with school districts and state agencies.	Charter Schools	low
Josephine M. Kim	Josephine Kim is a lecturer on education at the Harvard Graduate School of Education. She is the former faculty director of the Office of Diversity and Inclusion at Harvard School of Dental Medicine where she launched award-winning K-16 pipeline programs.	Child Abuse	low
Kurt Fischer	Kurt Fischer studies cognitive and emotional development and learning from birth through adulthood; combining analysis of the commonalities across people with the diversity of pathways of learning and development.	Child Abuse	low
Adriana Janette Umaña-Taylor	Adriana Umaña-Taylor is a professor of education in the Harvard Graduate School of Education. Her research; guided by developmental and socio-cultural ecological frameworks; focuses on understanding how individual and contextual factors interact to inform adolescents' development and adjustment.	Child Development	low
David Urion	David K. Urion; M.D. received his undergraduate degree from Dartmouth College; with majors in French and Chemistry; in 1976. He graduated from the Stanford University School of Medicine in 1980. After an internship in internal medicine at the Peter Bent Brigham Hospital; he came to Children's Hospital in 1981; and has been there since then.	Child Development	low
Howard Gardner	Howard Gardner is the John H. and Elisabeth A. Hobbs Research Professor of Cognition and Education at the Harvard Graduate School of Education. He is also the head of the Steering Committee of Harvard Project Zero.	Child Development	low
Joanna A. Christodoulou	Joanna A. Christodoulou works at the intersection of education and neuroscience. Her program of research; conducted at MIT in the Gabrieli Lab and at MGH Institute of Health Professions; focuses on brain and behavior correlates of development; difficulties; and intervention effects for reading.	Child Development	low
Jon R. Star	Jon Star is an educational psychologist who studies children's learning of mathematics in middle and high school; particularly algebra.	Child Development	low
Josephine M. Kim	Josephine Kim is a lecturer on education at the Harvard Graduate School of Education. She is the former faculty director of the Office of Diversity and Inclusion at Harvard School of Dental Medicine where she launched award-winning K-16 pipeline programs.	Child Development	low
Kurt Fischer	Kurt Fischer studies cognitive and emotional development and learning from birth through adulthood; combining analysis of the commonalities across people with the diversity of pathways of learning and development.	Child Development	low
Meredith L. Rowe	Meredith Rowe is a professor at the Harvard Graduate School of Education (HGSE). She leads a research program on understanding the role of parent and family factors in children's early language and literacy development.	Child Development	low
Nancy E. Hill	Nancy Hill is a developmental psychologist whose research focuses on parenting and adolescent development.	Child Development	low
Nonie K. Lesaux	Nonie K. Lesaux is Academic Dean and the Juliana W. and William Foss Thompson Professor of Education and Society. Her research focuses on promoting the language and literacy skills of today's children from diverse linguistic; cultural and economic backgrounds; and is conducted largely in urban and semi-urban cities and school districts.	Child Development	low
Paul L. Harris	Paul Harris is interested in the early development of cognition; emotion; and imagination. His most recent book; Trusting What You're Told: How Children Learn from Others; was published by Harvard University Press in May 2012.	Child Development	low
Robert A. LeVine	Robert LeVine's research concerns cultural aspects of parenthood and child development in African; Asian; Latin American; and other societies. His most recent research is on the influence of maternal schooling on reproduction and child health care in Nepal.	Child Development	low
Robert Kegan	Robert Kegan is a psychologist who teaches; researches; writes; and consults about adult development; adult learning; and professional development.	Child Development	low
Robert L. Selman	Robert Selman served as chair of the Human Development and Psychology area from 2000 to 2004. He is the founder within this area of the Prevention Science and Practice Program in 1992 and served as its first director through 1999.	Child Development	low
Terrence Tivnan	Terrence Tivnan taught courses on research methods and data analysis. He has helped thousands of students get off to a good start in learning about statistics and research in education. He received his M.A.T.	Child Development	low
Alexis Redding	Alexis Redding is an expert on the college experience and student development. Her research focuses on the transition to college and examines how students navigate the undergraduate years.	Civic Education	low
Gretchen Brion-Meisels	Gretchen Brion-Meisels is a lecturer in the Prevention Science and Practice Program. Her research seeks to explore partnerships between youth and adults that support both individual and collective development.	Civic Education	low
Meira Levinson	Meira Levinson is a normative political philosopher who works at the intersection of civic education; youth empowerment; racial justice; and educational ethics. In doing so; she draws upon scholarship from multiple disciplines as well as her eight years of experience teaching in the Atlanta and Boston Public Schools.	Civic Education	low
Sarah Dryden-Peterson	Sarah Dryden-Peterson leads a research program that focuses on the connections between education and community development; specifically the role that education plays in building peaceful and participatory societies.	Civic Education	low
Catherine Snow	Catherine Snow is an expert on language and literacy development in children; focusing on how oral language skills are acquired and how they relate to literacy outcomes.	Cognitive Development	medium
David Perkins	David Perkins is a founding member of Harvard Project Zero; a basic research project at the Harvard Graduate School of Education investigating human symbolic capacities and their development.	Cognitive Development	medium
Howard Gardner	Howard Gardner is the John H. and Elisabeth A. Hobbs Research Professor of Cognition and Education at the Harvard Graduate School of Education. He is also the head of the Steering Committee of Harvard Project Zero.	Cognitive Development	medium
Joanna A. Christodoulou	Joanna A. Christodoulou works at the intersection of education and neuroscience. Her program of research; conducted at MIT in the Gabrieli Lab and at MGH Institute of Health Professions; focuses on brain and behavior correlates of development; difficulties; and intervention effects for reading.	Cognitive Development	medium
Kurt Fischer	Kurt Fischer studies cognitive and emotional development and learning from birth through adulthood; combining analysis of the commonalities across people with the diversity of pathways of learning and development.	Cognitive Development	medium
Meredith L. Rowe	Meredith Rowe is a professor at the Harvard Graduate School of Education (HGSE). She leads a research program on understanding the role of parent and family factors in children's early language and literacy development.	Cognitive Development	medium
Metta Karuna McGarvey	Metta McGarvey is an adjunct lecturer on education and the faculty chair of Mindfulness for Educators for Programs in Professional Education.	Cognitive Development	medium
Nadine Gaab	Nadine Gaab is an associate professor of Education. She received a Ph.D. in Psychology from the University of Zürich in Switzerland and did postdoctoral training at Stanford University and MIT.	Cognitive Development	medium
Paul L. Harris	Paul Harris is interested in the early development of cognition; emotion; and imagination. His most recent book; Trusting What You're Told: How Children Learn from Others; was published by Harvard University Press in May 2012.	Cognitive Development	medium
Robert Kegan	Robert Kegan is a psychologist who teaches; researches; writes; and consults about adult development; adult learning; and professional development.	Cognitive Development	medium
Aysha Upchurch	Aysha Upchurch is an artist; instructor; and an education consultant committed to youth advocacy; social inclusion; artistry development; and transformative education. Whether on stage or in the classroom; hip hop is a thread throughout her work. Upchurch holds an M.A.	Collaborative Learning	high
Barbara Treacy	Barbara Treacy is a nationally recognized leader in online and blended learning who works with states; districts; colleges and universities; and other educational organizations to enable them to build successful online and blended programs for educators and students.	Collaborative Learning	high
Elizabeth City	Liz City is senior lecturer on education at the Harvard Graduate School of Education. City has served as a teacher; instructional coach; principal; and consultant; in each role focused on helping all children; and the educators who work with them; realize their full potential.	Collaborative Learning	high
Karen Brennan	Karen Brennan is an associate professor at HGSE; where she directs the Creative Computing Lab; and an affiliate in Computer Science.	Collaborative Learning	high
Kathryn Parker Boudett	Kathryn Parker Boudett is a senior lecturer on education; director of the Data Wise Project; and faculty director of the Master's program in Learning and Teaching.	Collaborative Learning	high
Tina Blythe	Tina Blythe is a lecturer on education and a project director at Harvard Project Zero.	Collaborative Learning	high
Karen Brennan	Karen Brennan is an associate professor at HGSE; where she directs the Creative Computing Lab; and an affiliate in Computer Science.	Computer Science Education	low
Jacqueline Zeller	Jacqueline Zeller earned her Ph.D. in clinical psychology from the University of Virginia. She is a licensed psychologist; school psychologist; and elementary education teacher. Her clinical interests focus on prevention and intervention efforts in schools and promoting resiliency in children.	Counseling and Clinical Psychology	low
Josephine M. Kim	Josephine Kim is a lecturer on education at the Harvard Graduate School of Education. She is the former faculty director of the Office of Diversity and Inclusion at Harvard School of Dental Medicine where she launched award-winning K-16 pipeline programs.	Counseling and Clinical Psychology	low
Mandy Savitz-Romer	Mandy Savitz-Romer's professional experience has allowed her to link research to practice in the field of school counseling; specifically as it relates to college access and retention for urban students.	Counseling and Clinical Psychology	low
Robert Kegan	Robert Kegan is a psychologist who teaches; researches; writes; and consults about adult development; adult learning; and professional development.	Counseling and Clinical Psychology	low
Houman Harouni	Houman Harouni is a practice-based theorist of culture and education. His work—which combines psychology; philosophy; political economy; and pedagogy—addresses the potential of institutions for maintaining or changing social relations.	Cultural Studies	medium
Josephine M. Kim	Josephine Kim is a lecturer on education at the Harvard Graduate School of Education. She is the former faculty director of the Office of Diversity and Inclusion at Harvard School of Dental Medicine where she launched award-winning K-16 pipeline programs.	Cultural Studies	medium
Meredith L. Rowe	Meredith Rowe is a professor at the Harvard Graduate School of Education (HGSE). She leads a research program on understanding the role of parent and family factors in children's early language and literacy development.	Cultural Studies	medium
Nancy E. Hill	Nancy Hill is a developmental psychologist whose research focuses on parenting and adolescent development.	Cultural Studies	medium
Barbara Treacy	Barbara Treacy is a nationally recognized leader in online and blended learning who works with states; districts; colleges and universities; and other educational organizations to enable them to build successful online and blended programs for educators and students.	Curriculum Development	medium
Christopher Dede	Chris Dede's fundamental interest is developing new types of educational systems to meet the opportunities and challenges of the 21st century.	Curriculum Development	medium
David Dockterman	David Dockterman innovates at the intersection of research and practice. In 1982 he helped found Tom Snyder Productions; an early pioneer in educational technology; while getting his doctorate at the Harvard Graduate School of Education.	Curriculum Development	medium
Eleanor R. Duckworth	A former student and translator of Jean Piaget; Eleanor Duckworth grounds her work in Piaget and Inhelder's insights into the nature and development of understanding and in their research method; which she has developed as a teaching/research approach; Critical Exploration in the Classroom.	Curriculum Development	medium
Fernando Reimers	Fernando M. Reimers is the Ford Foundation Professor of the Practice of International Education and Director of the Global Education Innovation Initiative and of the International Education Policy Masters Program at Harvard University.	Curriculum Development	medium
Houman Harouni	Houman Harouni is a practice-based theorist of culture and education. His work—which combines psychology; philosophy; political economy; and pedagogy—addresses the potential of institutions for maintaining or changing social relations.	Curriculum Development	medium
Jon R. Star	Jon Star is an educational psychologist who studies children's learning of mathematics in middle and high school; particularly algebra.	Curriculum Development	medium
Meira Levinson	Meira Levinson is a normative political philosopher who works at the intersection of civic education; youth empowerment; racial justice; and educational ethics. In doing so; she draws upon scholarship from multiple disciplines as well as her eight years of experience teaching in the Atlanta and Boston Public Schools.	Curriculum Development	medium
Shari Tishman	Shari Tishman is a Lecturer at Harvard Graduate School of Education and a Senior Research Associate at Harvard Project Zero; where she recently served as Director. Her research focuses on the development of thinking and understanding; the role of close observation in learning; and learning in and through the arts.	Curriculum Development	medium
Steven Seidel	Steve Seidel is the director of the Arts in Education Program at the Harvard Graduate School of Eduction. At Project Zero; he was principal investigator on projects that study the use of reflective practices in schools; the close examination of student work; and documentation of learning.	Curriculum Development	medium
Tina Blythe	Tina Blythe is a lecturer on education and a project director at Harvard Project Zero.	Curriculum Development	medium
Vicki A. Jacobs	Vicki A. Jacobs has served as faculty director of the Teacher Education; Field Experience; and Specialized Studies Programs at HGSE.	Curriculum Development	medium
Charles V. Willie	Charles Vert Willie is the Charles William Eliot Professor of Education; Emeritus. He is a sociologist whose areas of research include desegregation; higher education; public health; race relations; urban community problems; and family life.	Desegregation	low
Robert S. Peterkin	Prior to HGSE; Robert Peterkin held school superintendencies in Cambridge; Massachusetts; and Milwaukee; Wisconsin; and enjoyed a long career in educational leadership; from special education teacher to deputy superintendent; mainly with the Boston Public Schools.	Desegregation	low
Eleanor R. Duckworth	A former student and translator of Jean Piaget; Eleanor Duckworth grounds her work in Piaget and Inhelder's insights into the nature and development of understanding and in their research method; which she has developed as a teaching/research approach; Critical Exploration in the Classroom.	Development of children's thinking	low
Alex R Hodges	Alex Hodges; MLS; ABD; is the HGSE librarian and director; Monroe C. Gutman Library. As full-time; non-ladder faculty; he serves as a member of the faculty of education and Lecturer on Education. During academic year 2021-2022; Hodges is the faculty director of HGSE’s specialized studies Ed.M. program for online; part-time students.	Distance Learning	medium
Barbara Treacy	Barbara Treacy is a nationally recognized leader in online and blended learning who works with states; districts; colleges and universities; and other educational organizations to enable them to build successful online and blended programs for educators and students.	Distance Learning	medium
Tina Blythe	Tina Blythe is a lecturer on education and a project director at Harvard Project Zero.	Distance Learning	medium
Adriana Janette Umaña-Taylor	Adriana Umaña-Taylor is a professor of education in the Harvard Graduate School of Education. Her research; guided by developmental and socio-cultural ecological frameworks; focuses on understanding how individual and contextual factors interact to inform adolescents' development and adjustment.	Diversity	medium
Charles V. Willie	Charles Vert Willie is the Charles William Eliot Professor of Education; Emeritus. He is a sociologist whose areas of research include desegregation; higher education; public health; race relations; urban community problems; and family life.	Diversity	medium
Josephine M. Kim	Josephine Kim is a lecturer on education at the Harvard Graduate School of Education. She is the former faculty director of the Office of Diversity and Inclusion at Harvard School of Dental Medicine where she launched award-winning K-16 pipeline programs.	Diversity	medium
Meira Levinson	Meira Levinson is a normative political philosopher who works at the intersection of civic education; youth empowerment; racial justice; and educational ethics. In doing so; she draws upon scholarship from multiple disciplines as well as her eight years of experience teaching in the Atlanta and Boston Public Schools.	Diversity	medium
Meredith L. Rowe	Meredith Rowe is a professor at the Harvard Graduate School of Education (HGSE). She leads a research program on understanding the role of parent and family factors in children's early language and literacy development.	Diversity	medium
Nancy E. Hill	Nancy Hill is a developmental psychologist whose research focuses on parenting and adolescent development.	Diversity	medium
Robert S. Peterkin	Prior to HGSE; Robert Peterkin held school superintendencies in Cambridge; Massachusetts; and Milwaukee; Wisconsin; and enjoyed a long career in educational leadership; from special education teacher to deputy superintendent; mainly with the Boston Public Schools.	Diversity	medium
Sara Lawrence-Lightfoot	Sara Lawrence-Lightfoot; a sociologist; examines the culture of schools; the broad ecology of education; and the relationship between human development and social change.	Diversity	medium
Sarah Dryden-Peterson	Sarah Dryden-Peterson leads a research program that focuses on the connections between education and community development; specifically the role that education plays in building peaceful and participatory societies.	Diversity	medium
Catherine Snow	Catherine Snow is an expert on language and literacy development in children; focusing on how oral language skills are acquired and how they relate to literacy outcomes.	Early Childhood Development	low
Howard Gardner	Howard Gardner is the John H. and Elisabeth A. Hobbs Research Professor of Cognition and Education at the Harvard Graduate School of Education. He is also the head of the Steering Committee of Harvard Project Zero.	Early Childhood Development	low
Joanna A. Christodoulou	Joanna A. Christodoulou works at the intersection of education and neuroscience. Her program of research; conducted at MIT in the Gabrieli Lab and at MGH Institute of Health Professions; focuses on brain and behavior correlates of development; difficulties; and intervention effects for reading.	Early Childhood Development	low
Kurt Fischer	Kurt Fischer studies cognitive and emotional development and learning from birth through adulthood; combining analysis of the commonalities across people with the diversity of pathways of learning and development.	Early Childhood Development	low
Meredith L. Rowe	Meredith Rowe is a professor at the Harvard Graduate School of Education (HGSE). She leads a research program on understanding the role of parent and family factors in children's early language and literacy development.	Early Childhood Development	low
Nadine Gaab	Nadine Gaab is an associate professor of Education. She received a Ph.D. in Psychology from the University of Zürich in Switzerland and did postdoctoral training at Stanford University and MIT.	Early Childhood Development	low
Nonie K. Lesaux	Nonie K. Lesaux is Academic Dean and the Juliana W. and William Foss Thompson Professor of Education and Society. Her research focuses on promoting the language and literacy skills of today's children from diverse linguistic; cultural and economic backgrounds; and is conducted largely in urban and semi-urban cities and school districts.	Early Childhood Development	low
Robert A. LeVine	Robert LeVine's research concerns cultural aspects of parenthood and child development in African; Asian; Latin American; and other societies. His most recent research is on the influence of maternal schooling on reproduction and child health care in Nepal.	Early Childhood Development	low
Stephanie M. Jones	Stephanie Jones' research; anchored in prevention science; focuses on the effects of poverty and exposure to violence on children and youth's social; emotional; and behavioral development.	Early Childhood Development	low
Bridget Terry Long	Dr. Bridget Terry Long; Ph.D. is Dean and Saris Professor of Education and Economics at the Harvard Graduate School of Education. A member of the HGSE faculty since 2000; Long served as academic dean from 2013 to 2017 and was previously the faculty director of the Ed.D. and Ph.D.	Economy and Education	low
Christopher Dede	Chris Dede's fundamental interest is developing new types of educational systems to meet the opportunities and challenges of the 21st century.	Economy and Education	low
Joseph P. Kalt	Joseph P. Kalt is Ford Foundation Professor of International Political Economy. His research focuses on exploring the economic implications and political origins of the government regulation of markets. He also heads the Harvard Project on American Indian Economic Development.	Economy and Education	low
Paul Reville	Paul Reville is the Francis Keppel Professor of Practice of Educational Policy and Administration at the Harvard Graduate School of Education (HGSE). He is the founding director of HGSE's Education Redesign Lab. In 2013; he completed nearly five years of service as the Secretary of Education for the Commonwealth of Massachusetts.	Economy and Education	low
Richard J. Murnane	Richard Murnane; an economist; is the Thompson Research Professor at the Harvard Graduate School of Education and a research associate at the National Bureau of Economic Research. With Greg Duncan; Murnane has examined the respects in which the growth in family income inequality in the U.S.	Economy and Education	low
Thomas Kane	Thomas Kane is an economist and Walter H. Gale Professor of Education at the Harvard Graduate School of Education. He is faculty director of the Center for Education Policy Research; a university-wide research center that works with school districts and state agencies.	Economy and Education	low
Aaliyah El-Amin	Aaliyah El-Amin is a practitioner and researcher committed to ensuring that educators have the knowledge and tools they need to disrupt systems of oppression. Her specific interest areas include liberatory education models; social justice schooling; critical pedagogy and youth participatory action research.	Educational Equity	high
Bridget Terry Long	Dr. Bridget Terry Long; Ph.D. is Dean and Saris Professor of Education and Economics at the Harvard Graduate School of Education. A member of the HGSE faculty since 2000; Long served as academic dean from 2013 to 2017 and was previously the faculty director of the Ed.D. and Ph.D.	Educational Equity	high
Charles V. Willie	Charles Vert Willie is the Charles William Eliot Professor of Education; Emeritus. He is a sociologist whose areas of research include desegregation; higher education; public health; race relations; urban community problems; and family life.	Educational Equity	high
Christopher Dede	Chris Dede's fundamental interest is developing new types of educational systems to meet the opportunities and challenges of the 21st century.	Educational Equity	high
Fernando Reimers	Fernando M. Reimers is the Ford Foundation Professor of the Practice of International Education and Director of the Global Education Innovation Initiative and of the International Education Policy Masters Program at Harvard University.	Educational Equity	high
Jerome T. Murphy	Jerome Murphy is a specialist in the management and politics of education. His teaching and research focus on administrative practice and organizational leadership; government policy; program implementation and evaluation; and qualitative methodology.	Educational Equity	high
Josephine M. Kim	Josephine Kim is a lecturer on education at the Harvard Graduate School of Education. She is the former faculty director of the Office of Diversity and Inclusion at Harvard School of Dental Medicine where she launched award-winning K-16 pipeline programs.	Educational Equity	high
Mandy Savitz-Romer	Mandy Savitz-Romer's professional experience has allowed her to link research to practice in the field of school counseling; specifically as it relates to college access and retention for urban students.	Educational Equity	high
Nancy E. Hill	Nancy Hill is a developmental psychologist whose research focuses on parenting and adolescent development.	Educational Equity	high
